,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,region,sub-region
134,Philippines,71,186,1,4.6,Asia,South-eastern Asia
135,Poland,343,215,56,10.9,Europe,Eastern Europe
136,Portugal,194,67,339,11.0,Europe,Southern Europe
137,Qatar,1,42,7,0.9,Asia,Western Asia
138,South Korea,140,16,9,9.8,,
139,Moldova,109,226,18,6.3,,
140,Romania,297,122,167,10.4,Europe,Eastern Europe
141,Russian Federation,247,326,73,11.5,Europe,Eastern Europe
142,Rwanda,43,2,0,6.8,Africa,Sub-Saharan Africa
143,St. Kitts & Nevis,194,205,32,7.7,,
144,St. Lucia,171,315,71,10.1,,
145,St. Vincent & the Grenadines,120,221,11,6.3,,
146,Samoa,105,18,24,2.6,Oceania,Polynesia
147,San Marino,0,0,0,0.0,Europe,Southern Europe
148,Sao Tome & Principe,56,38,140,4.2,,
149,Saudi Arabia,0,5,0,0.1,Asia,Western Asia
150,Senegal,9,1,7,0.3,Africa,Sub-Saharan Africa
151,Serbia,283,131,127,9.6,Europe,Southern Europe
152,Seychelles,157,25,51,4.1,Africa,Sub-Saharan Africa
153,Sierra Leone,25,3,2,6.7,Africa,Sub-Saharan Africa
154,Singapore,60,12,11,1.5,Asia,South-eastern Asia
155,Slovakia,196,293,116,11.4,Europe,Eastern Europe
156,Slovenia,270,51,276,10.6,Europe,Southern Europe
157,Solomon Islands,56,11,1,1.2,Oceania,Melanesia
158,Somalia,0,0,0,0.0,Africa,Sub-Saharan Africa
159,South Africa,225,76,81,8.2,Africa,Sub-Saharan Africa
160,Spain,284,157,112,10.0,Europe,Southern Europe
161,Sri Lanka,16,104,0,2.2,Asia,Southern Asia
162,Sudan,8,13,0,1.7,Africa,Northern Africa
163,Suriname,128,178,7,5.6,Americas,Latin America and the Caribbean
164,Swaziland,90,2,2,4.7,,
165,Sweden,152,60,186,7.2,Europe,Northern Europe
166,Switzerland,185,100,280,10.2,Europe,Western Europe
167,Syria,5,35,16,1.0,,
168,Tajikistan,2,15,0,0.3,Asia,Central Asia
169,Thailand,99,258,1,6.4,Asia,South-eastern Asia
170,Macedonia,106,27,86,3.9,,
171,Timor-Leste,1,1,4,0.1,Asia,South-eastern Asia
172,Togo,36,2,19,1.3,Africa,Sub-Saharan Africa
173,Tonga,36,21,5,1.1,Oceania,Polynesia
174,Trinidad & Tobago,197,156,7,6.4,,
175,Tunisia,51,3,20,1.3,Africa,Northern Africa
176,Turkey,51,22,7,1.4,Asia,Western Asia
177,Turkmenistan,19,71,32,2.2,Asia,Central Asia
178,Tuvalu,6,41,9,1.0,Oceania,Polynesia
179,Uganda,45,9,0,8.3,Africa,Sub-Saharan Africa
180,Ukraine,206,237,45,8.9,Europe,Eastern Europe
181,United Arab Emirates,16,135,5,2.8,Asia,Western Asia
182,United Kingdom,219,126,195,10.4,,
183,Tanzania,36,6,1,5.7,,
184,USA,249,158,84,8.7,,
185,Uruguay,115,35,220,6.6,Americas,Latin America and the Caribbean
186,Uzbekistan,25,101,8,2.4,Asia,Central Asia
187,Vanuatu,21,18,11,0.9,Oceania,Melanesia
188,Venezuela,333,100,3,7.7,,
189,Vietnam,111,2,1,2.0,,
190,Yemen,6,0,0,0.1,Asia,Western Asia
191,Zambia,32,19,4,2.5,Africa,Sub-Saharan Africa
192,Zimbabwe,64,18,4,4.7,Africa,Sub-Saharan Africa
